"","1983","1984","1985","1986","1987"
"Apodemus_agrarius",1.30487804878049,0.990654205607477,0.660377358490566,0.7,0.897959183673469
"Apodemus_peninsulae",0.642857142857143,0.666666666666667,0.333333333333333,3.5,0.142857142857143
"Arvicola_terrestris",1.62068965517241,1.82978723404255,0.302325581395349,0.576923076923077,0.866666666666667
"Asioscalops_altaica",5,2.2,0.909090909090909,0.4,2
"Cricetus_cricetus",0.428571428571429,2,0.833333333333333,0.6,0.666666666666667
"Eutamias_sibiricus",0.538461538461538,1.14285714285714,0.625,0,0
"Microtus_agrestis",1.32258064516129,2.31707317073171,0.315789473684211,0.8,0.416666666666667
"Microtus_arvalis",4.55555555555556,1.58536585365854,0.553846153846154,0.638888888888889,0.956521739130435
"Microtus_gregalis",1.21367521367521,0.908450704225352,0.275193798449612,0.309859154929577,0.227272727272727
"Microtus_minutus",1.23809523809524,0.384615384615385,2.9,0.413793103448276,0.833333333333333
"Microtus_oeconomus",0.650793650793651,1.73170731707317,2,0.746478873239437,0.641509433962264
"Mus_musculus",1.55,0.161290322580645,0.4,0,0
"Myodes_glareolus",0.266666666666667,3.125,0.32,2.5,0.25
"Myodes_rufocanus",1.17241379310345,1.02941176470588,1.05714285714286,1.2972972972973,0.0833333333333333
"Myodes_rutilus",0.621052631578947,2.15254237288136,1.07874015748032,0.474452554744526,0.969230769230769
"Neomys_fodiens",0,5.5,5.36363636363636,1.47457627118644,1.04597701149425
"Sicista_betulina",0.589473684210526,2,0.946428571428571,1.09433962264151,0.75
"Sorex_araneus",0.937037037037037,0.810276679841897,5.16585365853659,1.57223796033994,0.266066066066066
"Sorex_caecutiens",0.705882352941177,0,0,0.333333333333333,0.5
"Sorex_isodon",1,0.933333333333333,3.57142857142857,2.1,0.714285714285714
"Sorex_minutus",0.343137254901961,0.314285714285714,6.45454545454545,0.957746478873239,1.07352941176471
"Sorex_tundrensis",0.764705882352941,1,2.76923076923077,1.61111111111111,0.189655172413793
