altitude,receptor,donor,no.grains
1600,Ade.cor,Ade.cor,1366
1800,Ade.cor,Ade.cor,1049
1600,Arm.mar,Ade.cor,1
1600,Gau.pum,Ade.cor,3
1600,Hyp.ten,Ade.cor,29
1600,Mul.ech,Ade.cor,4
1600,Per.bel,Ade.cor,1
1800,Per.bel,Ade.cor,29
1600,Sen.arg,Ade.cor,2
1600,Sen.bip,Ade.cor,3
1800,Val.car,Ade.cor,3
1800,Ade.par,Ade.par,195
1800,Cer.arv,Ade.par,1
2000,Cer.arv,Ade.par,5
1800,Hyp.ten,Ade.par,339
1800,Leu.mil,Ade.par,7
1800,Nas.acu,Ade.par,1
1800,Qui.chi,Ade.par,9
1800,Sen.arg,Ade.par,132
1800,Sen.bac,Ade.par,1
1800,Sen.bip,Ade.par,9
2000,Sen.bip,Ade.par,65
1800,Sen.gni,Ade.par,20
2000,Sen.pac,Ade.par,3
1800,Sen.pet,Ade.par,2
1800,Sen.poe,Ade.par,55
2000,Sen.por,Ade.par,20
1800,Sen.spX,Ade.par,3
1600,Ane.mul,Ane.mul,258
1800,Ane.mul,Ane.mul,1249
1600,Val.car,Ane.mul,2
1800,Arj.pat,Arj.pat,1040
1800,Sen.bac,Arj.pat,3
1600,Arm.mar,Arm.mar,1482
1800,Arm.mar,Arm.mar,48
1600,Gau.pum,Arm.mar,2
1800,Leu.mil,Arm.mar,1
1600,Val.car,Arm.mar,1
1800,Val.car,Arm.mar,2
1600,Ast.uni,Ast.uni,393
1600,Ast.uni,Azo.mon,5
1600,Azo.mon,Azo.mon,6
1600,Dis.cha,Azo.mon,2
1600,Hyp.ten,Azo.mon,1
1600,Leu.mil,Azo.mon,7
1600,Loa.nan,Azo.mon,2
1600,Per.bel,Azo.mon,19
1800,Arm.mar,Cer.arv,8
1800,Cer.arv,Cer.arv,1442
2000,Cer.arv,Cer.arv,3755
1600,Leu.mil,Cer.arv,1
2000,Oxa.ery,Cer.arv,1
1800,Per.bel,Cer.arv,2
1600,Qui.chi,Cer.arv,2
1800,Qui.chi,Cer.arv,2
1600,Val.car,Cer.arv,1
1800,Val.car,Cer.arv,7
1600,Chi.ros,Chi.ros,690
1800,Chi.ros,Chi.ros,1317
1600,Pha.sec,Chi.ros,4
1600,Qui.chi,Chi.ros,5
1600,Arm.mar,Dis.cha,2
1600,Ast.uni,Dis.cha,4
1600,Chi.ros,Dis.cha,1
1600,Dis.cha,Dis.cha,898
1600,Gau.pum,Dis.cha,1
1600,Sen.bip,Dis.cha,2
1800,Arm.mar,Dis.nan,15
1800,Cer.arv,Dis.nan,5
2000,Cer.arv,Dis.nan,1
1800,Dis.nan,Dis.nan,465
2000,Sen.pac,Dis.nan,3
2000,Dra.gil,Dra.gil,941
1800,Eri.lep,Eri.lep,622
2000,Eri.lep,Eri.lep,353
1600,Sen.bip,Esc.alp,1
1800,Arj.pat,Gam.sel,7
1600,Arm.mar,Gam.sel,18
1600,Gam.sel,Gam.sel,105
1800,Gam.sel,Gam.sel,33
1800,Sen.arg,Gam.sel,2
1600,Val.car,Gam.sel,14
1600,Arm.mar,Gau.pum,2
1800,Arm.mar,Gau.pum,3
1800,Cer.arv,Gau.pum,3
2000,Cer.arv,Gau.pum,4
1600,Gau.pum,Gau.pum,162
1800,Gau.pum,Gau.pum,344
2000,Gau.pum,Gau.pum,67
1600,Ore.gla,Gau.pum,3
1600,Qui.chi,Gau.pum,1
1800,Sen.poe,Gau.pum,2
1600,Val.car,Gau.pum,23
1800,Ger.ses,Ger.ses,476
1800,Ore.gla,Ger.ses,1
2000,Hua.and,Hua.and,15
1800,Hyp.ten,Hua.and,2
1800,Leu.mil,Hua.and,9
1800,Nas.acu,Hua.and,8
1800,Per.rec,Hua.and,3
1800,Qui.chi,Hua.and,23
1800,Sen.arg,Hua.and,3
1800,Sen.bip,Hua.and,6
1800,Sen.gni,Hua.and,1
1800,Sen.pet,Hua.and,2
1600,Hyp.ten,Hyp.ten,1135
1800,Hyp.ten,Hyp.ten,1768
1800,Leu.mil,Hyp.ten,1
1600,Loa.nan,Hyp.ten,1
1800,Qui.chi,Lat.mag,1
1600,Leu.mil,Leu.mil,705
1800,Leu.mil,Leu.mil,929
1600,Qui.chi,Leu.mil,1
1800,Qui.chi,Leu.mil,6
2000,Sen.bip,Leu.mil,1
1800,Sen.poe,Leu.mil,1
1800,Sen.spX,Leu.mil,2
1800,Val.car,Leu.mil,8
1600,Arm.mar,Loa.nan,1
1600,Gau.pum,Loa.nan,1
1600,Hyp.ten,Loa.nan,7
1600,Loa.nan,Loa.nan,2821
1800,Loa.nan,Loa.nan,4627
2000,Loa.nan,Loa.nan,832
1600,Qui.chi,Loa.nan,1
1800,Qui.chi,Loa.nan,5
1800,Sen.spX,Loa.nan,1
1600,Mos.cal,Mos.cal,221
1800,Mos.cal,Mos.cal,12
1600,Val.car,Mos.cal,3
1800,Val.car,Mos.cal,20
1600,Arm.mar,Mul.ech,1
2000,Cer.arv,Mul.ech,34
1600,Gau.pum,Mul.ech,3
1600,Hyp.ten,Mul.ech,7
1600,Leu.mil,Mul.ech,3
1800,Leu.mil,Mul.ech,2
1600,Mul.ech,Mul.ech,170
2000,Mul.ech,Mul.ech,59
1600,Nas.acu,Mul.ech,4
1800,Nas.acu,Mul.ech,5
1800,Nas.dar,Mul.ech,1
1600,Qui.chi,Mul.ech,6
1800,Qui.chi,Mul.ech,32
1600,Sen.arg,Mul.ech,1
1800,Sen.arg,Mul.ech,1
1600,Sen.bip,Mul.ech,1
2000,Sen.bip,Mul.ech,38
2000,Sen.boe,Mul.ech,8
2000,Sen.pac,Mul.ech,5
1800,Sen.poe,Mul.ech,2
2000,Sen.por,Mul.ech,2
1600,Sen.spX,Mul.ech,2
1800,Sen.spX,Mul.ech,1
1600,Val.car,Mul.ech,8
1800,Arj.pat,Mul.lep,2
1600,Arm.mar,Mul.lep,5
1800,Arm.mar,Mul.lep,34
1800,Cer.arv,Mul.lep,4
1800,Hyp.ten,Mul.lep,3
1800,Leu.mil,Mul.lep,11
1800,Loa.nan,Mul.lep,8
1600,Mul.lep,Mul.lep,294
1800,Mul.lep,Mul.lep,107
1800,Ore.gla,Mul.lep,1
1800,Per.bel,Mul.lep,13
1800,Qui.chi,Mul.lep,2
1800,Sen.bac,Mul.lep,4
1600,Val.car,Mul.lep,18
1800,Val.car,Mul.lep,36
1600,Nas.acu,Nas.acu,189
1800,Nas.acu,Nas.acu,701
1800,Qui.chi,Nas.acu,4
1800,Sen.arg,Nas.acu,9
1800,Ade.cor,Nas.dar,2
1800,Arj.pat,Nas.dar,1
1800,Loa.nan,Nas.dar,2
1800,Nas.dar,Nas.dar,340
1800,Per.bel,Nas.dar,1
1800,Sen.arg,Nas.dar,3
1800,Sen.pet,Nas.dar,1
2000,Cer.arv,Nas.pyg,26
2000,Dra.gil,Nas.pyg,30
